36,259|30,265|36,269|43,265|36,259*
267,12|267,46|307,49|307,12|267,12*
271,19|271,23|279,23|279,19|271,19*
270,26|280,26|280,45|270,44|270,26*
283,13|302,13|302,24|283,23|283,13*
285,25|298,26|298,46|284,45|285,25*
330,71|330,76|339,76|339,71|330,71*
326,154|326,141|273,136|272,149|326,154*
275,114|274,129|321,134|322,118|275,114*
309,94|309,104|328,106|329,96|309,94*
303,95|303,102|309,102|309,96|303,95*
291,98|303,99|305,73|293,72|291,98*
305,75|305,78|319,79|319,76|305,75*
320,70|318,95|324,70|322,95|320,70*
105,217|105,200|174,200|174,217|105,217*
185,217|185,200|255,200|255,217|185,217*
105,190|105,173|174,173|174,190|105,190*
185,190|185,173|255,173|255,190|185,190*
88,94|124,94|121,114|88,114|88,94*
88,120|124,120|124,140|88,140|88,120*
88,140|88,149|95,149|95,140|88,140*
104,140|104,149|111,149|111,140|104,140*
28,205|28,195|50,195|50,205|28,205*
64,211|98,211|98,222|64,222|64,211*
226,158|249,158|249,139|226,139|226,158*
204,158|204,142|226,142|226,158|204,158*
226,139|249,139|249,94|226,94|226,139*
143,101|157,87|172,101|157,115|143,101*
113,46|141,46|141,74|113,74|113,46*
176,77|183,77|183,59|176,59|176,77*
176,55|183,55|183,37|176,37|176,55*
